,name,polygon,area
23,Vedat Dalokay Parkı,"[(32.7324975, 39.9617407), (32.7336064, 39.9613036), (32.734139, 39.9610945), (32.7342965, 39.9613302), (32.7346251, 39.9617924), (32.7347247, 39.9619043), (32.7348482, 39.9619888), (32.7350411, 39.9620744), (32.7353432, 39.9621742), (32.7345222, 39.9639331), (32.7336296, 39.9636542), (32.7333854, 39.9631858), (32.7324406, 39.9618474), (32.7324358, 39.9618137), (32.7324424, 39.9617893), (32.7324621, 39.9617634), (32.7324975, 39.9617407)]",42821.39975063556
24,Türkmenistan Parkı,"[(32.7004899, 39.973806), (32.7014083, 39.9742006), (32.7017602, 39.9738783), (32.7019232, 39.9733389), (32.7027043, 39.9728654), (32.7021292, 39.9723194), (32.7015198, 39.9726943), (32.7010392, 39.9730561), (32.7004899, 39.973806)]",17290.93257334288
25,Yumurcak Parkı,"[(32.6974561, 39.9728702), (32.6974882, 39.9727273), (32.6987682, 39.9728964), (32.698736, 39.9730394), (32.6974561, 39.9728702)]",1785.7121495264214
26,Prof. Dr. Semra Dündar Parkı,"[(32.8427544, 39.8515122), (32.8429135, 39.8511916), (32.8430213, 39.8509743), (32.8430709, 39.8508744), (32.8432524, 39.8509461), (32.843412, 39.8510091), (32.8437525, 39.8511435), (32.8436218, 39.8513648), (32.8435982, 39.8514048), (32.8434214, 39.8517043), (32.8430852, 39.8516075), (32.8428723, 39.8515462), (32.8427544, 39.8515122)]",4545.620452029275
27,İzci Parkı,"[(32.7979096, 39.8908993), (32.7977383, 39.8909261), (32.7976812, 39.8908184), (32.7976279, 39.8904515), (32.7975982, 39.8902837), (32.7972608, 39.8901416), (32.7972783, 39.8901196), (32.7974043, 39.8900597), (32.7974807, 39.8901252), (32.7976212, 39.8901067), (32.797781, 39.8900839), (32.7980376, 39.8900666), (32.7984365, 39.8902395), (32.7985199, 39.8903266), (32.7985746, 39.8903996), (32.7986716, 39.8907096), (32.7986723, 39.8907658), (32.7986536, 39.8907951), (32.7979096, 39.8908993)]",6995.983988317318
29,100. Yıl Birlik Parkı,"[(32.8072735, 39.8932068), (32.8064458, 39.8924401), (32.8060288, 39.8921334), (32.8054517, 39.8918695), (32.8058015, 39.8912231), (32.8060416, 39.8907267), (32.806129, 39.8904136), (32.8061494, 39.890134), (32.8060999, 39.8895749), (32.8062165, 39.8892058), (32.8062631, 39.8891522), (32.8064701, 39.8890023), (32.8066625, 39.8888212), (32.8067907, 39.8899663), (32.8069208, 39.8906662), (32.8071132, 39.8919947), (32.8072735, 39.8932068)]",33035.21168709245
30,ODTÜ Bahar Parkı,"[(32.7854124, 39.8931684), (32.7855415, 39.893245), (32.7857154, 39.8932833), (32.787489, 39.8929963), (32.787662, 39.8929576), (32.787797, 39.8929274), (32.7878517, 39.892648), (32.7878766, 39.8924992), (32.7876544, 39.8920748), (32.7865053, 39.8925332), (32.7856409, 39.892912), (32.7854521, 39.893023), (32.7854124, 39.8931684)]",14109.03329073548
31,Cehar Dudayev Parkı,"[(32.7013391, 39.9643893), (32.7022185, 39.9641565), (32.7022872, 39.9641369), (32.7024745, 39.9640841), (32.7028736, 39.9639692), (32.7029826, 39.963934), (32.7029207, 39.963804), (32.7026973, 39.9634248), (32.7025376, 39.9631537), (32.7023563, 39.9628237), (32.7022616, 39.9626514), (32.7013951, 39.9629405), (32.7013686, 39.9634717), (32.7013669, 39.9635234), (32.7013391, 39.9643893)]",17566.8889055312
32,Gökkuşağı Parkı,"[(32.7016212, 39.9609984), (32.702254, 39.9610427), (32.7023197, 39.9601132), (32.7018431, 39.9601574), (32.7016212, 39.9609984)]",4655.017435124722
33,Asaf Bey Parkı,"[(32.7121322, 39.9575069), (32.7134326, 39.9565554), (32.7126864, 39.9559211), (32.7113008, 39.9568343), (32.7121322, 39.9575069)]",15291.668093029071
